Name, team, opp, pos, snaps, fantasy_pts 
Eddie Lacy, GNB, JAX, RB, 36, 7.80
Eddie Lacy, GNB, MIN, RB, 35, 5.00
Eddie Lacy, GNB, DET, RB, 38, 10.50
Eddie Lacy, GNB, NYG, RB, 26, 8.40
Eddie Lacy, GNB, DAL, RB, 31, 7.10
